Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),Unit (Unit),2010,2011,2012,2013,2014,2015,2016,2017
Côte d'Ivoire,Bobo croaker,"Atlantic, Eastern Central",Tonnes - live weight,...,6,5,6,6,340 F,687,687 F
Kazakhstan,Orfe(=Ide),Asia - Inland waters,Tonnes - live weight,...,...,...,...,...,...,...,...
Japan,"Porgies, seabreams nei","Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Kyrgyzstan,Roach,Asia - Inland waters,Tonnes - live weight,...,...,...,...,15,1,...,...
South Africa,Natantian decapods nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,4,-,-,-
United States of America,Red porgy,"Atlantic, Northwest",Tonnes - live weight,33,39,33,29,25,21,18,19
Uruguay,Red porgy,"Atlantic, Southwest",Tonnes - live weight,241,339,57,223,13,187,15,13
Germany,Porbeagle,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Indonesia,Emperors(=Scavengers) nei,"Indian Ocean, Eastern",Tonnes - live weight,6811,6765,6297,6652,6904,7006,5314,9259
Japan,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Mauritius,Mackerels nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,...
Mexico,Stromboid conchs nei,"Atlantic, Western Central",Tonnes - live weight,68,78,45,-,285,4342,1132,4820
New Zealand,Giant kelps nei,"Pacific, Southwest",Tonnes - live weight,45,66,29,56,90,63,36,51
Ukraine,Sea squirts nei,"Pacific, Antarctic",Tonnes - live weight,-,-,-,-,-,0 0,0 0,-
Philippines,Freshwater fishes nei,Asia - Inland waters,Tonnes - live weight,7847,7882,8501,9035,9217,12280,9333,9220
South Africa,Panga seabream,"Atlantic, Southeast",Tonnes - live weight,1549,1184,891,805,1018,572,712,679
Spain,Natantian decapods nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Croatia,Common spiny lobster,Mediterranean and Black Sea,Tonnes - live weight,17,15,10,13,10,9,8,7
Grenada,Surgeonfishes nei,"Atlantic, Western Central",Tonnes - live weight,2,2,2,1,3,3 F,3 F,3 F
Senegal,Natantian decapods nei,"Atlantic, Eastern Central",Tonnes - live weight,1,48,8,0 0,-,-,-,-
Spain,Saddled seabream,Mediterranean and Black Sea,Tonnes - live weight,69,64,49,42,39,51,47,54
Togo,Tilapias nei,Africa - Inland waters,Tonnes - live weight,3500,3500,3500,3500,3500,3500,4300,4000
India,Emperors(=Scavengers) nei,"Indian Ocean, Eastern",Tonnes - live weight,...,...,...,...,...,9950 F,6650 F,8756 F
New Zealand,Red seaweeds,"Pacific, Southwest",Tonnes - live weight,287,345,403,381,202,63,455,1110
United States of America,Red porgy,"Atlantic, Western Central",Tonnes - live weight,117,174,217,155,170,142,111,93
Italy,Spottail mantis squillid,Mediterranean and Black Sea,Tonnes - live weight,6466,5428,4751,4970,4740,5264,5278,4421
Côte d'Ivoire,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,5,4,8,8 F,10 F,10 F
Latvia,European pilchard(=Sardine),"Atlantic, Eastern Central",Tonnes - live weight,9756,13802,7535,2048,985,412,3360,2989
Lithuania,Pike-perch,Europe - Inland waters,Tonnes - live weight,83,98,68,85,108,106,65,47
Malaysia,Mackerels nei,"Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,...
Mexico,Bigeye thresher,"Atlantic, Western Central",Tonnes - live weight,4,4,86,93,139,...,...,-
Martinique,Stromboid conchs nei,"Atlantic, Western Central",Tonnes - live weight,21 F,18 F,15 F,15 F,14 F,15 F,16 F,16 F
Vanuatu,Pacific chub mackerel,"Pacific, Southeast",Tonnes - live weight,676,24,193,296,484,604,1145,-
India,Emperors(=Scavengers) nei,"Indian Ocean, Western",Tonnes - live weight,...,...,...,...,...,8811 F,5869 F,7727 F
Ireland,Penaeus shrimps nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,2,1
Japan,"Porgies, seabreams nei","Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Mexico,Pacific chub mackerel,"Pacific, Eastern Central",Tonnes - live weight,8532,6925,16481,31864,42769,51654,81327,57336
South Africa,Santer seabream,"Indian Ocean, Western",Tonnes - live weight,43,34,47,49,42,42,46,45
Spain,Black seabream,Mediterranean and Black Sea,Tonnes - live weight,40,36,31,31,28,27,32,34
United Arab Emirates,Yellowfin seabream,"Indian Ocean, Western",Tonnes - live weight,...,...,...,...,...,...,...,...
Germany,Antarctic krill,"Atlantic, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
France,Antarctic krill,"Indian Ocean, Antarctic",Tonnes - live weight,...,-,-,-,-,-,-,-
France,Porbeagle,"Atlantic, Northeast",Tonnes - live weight,9,2,27,13,2,-,-,-
United States of America,Whelks,"Atlantic, Northwest",Tonnes - live weight,1363,1412,2983,6386,2046,1205,868,755
Greece,Common spiny lobster,Mediterranean and Black Sea,Tonnes - live weight,50,44,41,34,116,72,98,73
Guatemala,Pacific seabobs,"Pacific, Eastern Central",Tonnes - live weight,1278,873,506,481,74,255,375,437
India,Giant tiger prawn,"Indian Ocean, Eastern",Tonnes - live weight,50650,76502,79513,76353,88402 F,85695 F,86116 F,90160 F
Spain,Natantian decapods nei,"Atlantic, Southwest",Tonnes - live weight,-,2230,2124,-,-,-,-,-
Thailand,Barramundi(=Giant seaperch),"Pacific, Western Central",Tonnes - live weight,8,7,8,77,173,162,21,9
Senegal,Black seabream,"Atlantic, Eastern Central",Tonnes - live weight,2803,2202,1431,891,1736,140,2833,616
Iran (Islamic Rep. of),Kutum,Asia - Inland waters,Tonnes - live weight,11573,10692,11883,13839,11724,8130,6760,7265
Côte d'Ivoire,Penaeus shrimps nei,"Atlantic, Eastern Central",Tonnes - live weight,133,178,241,184,198,190 F,200 F,200 F
Taiwan Province of China,Barramundi(=Giant seaperch),"Pacific, Northwest",Tonnes - live weight,91,87,91,79,0 0,1,1,1
Turkey,"Gurnards, searobins nei",Mediterranean and Black Sea,Tonnes - live weight,422,282,324,257,81,69,62,67
Philippines,Chacunda gizzard shad,"Pacific, Western Central",Tonnes - live weight,1197,1206,1131,1146,1111,1127,1089,1039
Japan,"Porgies, seabreams nei","Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Croatia,Pink dentex,Mediterranean and Black Sea,Tonnes - live weight,...,...,2,1,2,3,2,1
India,Giant tiger prawn,"Indian Ocean, Western",Tonnes - live weight,104881,113105,104040,99905,117200 F,113500 F,114000 F,119353 F
Ireland,"Porgies, seabreams nei","Atlantic, Northeast",Tonnes - live weight,2,0 0,-,0 0,0 0,0 0,0 0,1
Spain,Natantian decapods nei,Mediterranean and Black Sea,Tonnes - live weight,357,318,228,233,253,449,595,691
Papua New Guinea,Barramundi(=Giant seaperch),Oceania - Inland waters,Tonnes - live weight,350 F,350 F,350 F,350 F,350 F,350 F,350 F,350 F
Italy,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,47,79,27,-,-,37,-,-
South Africa,Santer seabream,"Atlantic, Southeast",Tonnes - live weight,28,27,36,35,33,26,19,30
Kenya,Emperors(=Scavengers) nei,"Indian Ocean, Western",Tonnes - live weight,642,683,602,685,686,666,1368,1521
Latvia,Pike-perch,Europe - Inland waters,Tonnes - live weight,31,28,29,40,32,22,22,22
Lithuania,European pilchard(=Sardine),"Atlantic, Eastern Central",Tonnes - live weight,27159,25565,4620,2415,11615,3400,10008,61
Tunisia,"Gurnards, searobins nei",Mediterranean and Black Sea,Tonnes - live weight,136,151,317,264,284,344,420,360
Mexico,Stromboid conchs nei,"Pacific, Eastern Central",Tonnes - live weight,...,...,...,204,218,570,556,633
Malaysia,Tuna-like fishes nei,"Pacific, Western Central",Tonnes - live weight,...,-,-,-,-,-,-,1733
Japan,Yellow croaker,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Japan,Penaeus shrimps nei,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Kenya,"Porgies, seabreams nei","Indian Ocean, Western",Tonnes - live weight,...,...,...,...,...,...,...,13
Mauritius,Tuna-like fishes nei,"Indian Ocean, Western",Tonnes - live weight,330,17,8,1,1,4,4,41
Mexico,Aquatic invertebrates nei,"America, North - Inland waters",Tonnes - live weight,394,...,...,...,4,7,162,8
Paraguay,Freshwater fishes nei,"America, South - Inland waters",Tonnes - live weight,3100 F,3000 F,2900 F,2800 F,2700 F,2600 F,2500 F,2226 F
Taiwan Province of China,Blackhead seabream,"Pacific, Northwest",Tonnes - live weight,365,383,357,386,372,211,228,228
Japan,"Porgies, seabreams nei","Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Indonesia,Giant tiger prawn,"Indian Ocean, Eastern",Tonnes - live weight,5914,5115,6321,9453,10005,10164,8346,1671
Jamaica,Penaeus shrimps nei,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Ukraine,Silver seabream,"Pacific, Southwest",Tonnes - live weight,...,...,...,...,...,...,...,...
Japan,Penaeus shrimps nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Ukraine,Brine shrimp,Europe - Inland waters,Tonnes - live weight,2,12,4,-,-,-,28,38
Spain,Natantian decapods nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,202,467,93,1,0 0
Jordan,Emperors(=Scavengers) nei,"Indian Ocean, Western",Tonnes - live weight,7,8,11 F,13 F,16,16 F,16 F,16 F
Lithuania,European pilchard(=Sardine),"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,1,1,-
Morocco,Tuna-like fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Northern Mariana Is.,Freshwater fishes nei,Oceania - Inland waters,Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
Papua New Guinea,Pearl oyster shells nei,"Pacific, Western Central",Tonnes - live weight,5.6,6.49,2.95,0.47,0.47 F,0.47 F,0.47 F,...
Peru,Freshwater fishes nei,"America, South - Inland waters",Tonnes - live weight,32816,26412,21901,18617,15579,22803,14055,1488
France,Blackmouth catshark,"Atlantic, Northeast",Tonnes - live weight,1,3,2,4,1,0 0,0 0,-
Italy,"Porgies, seabreams nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Kuwait,Hilsa shad,"Indian Ocean, Western",Tonnes - live weight,164,75,73,137,122,112,129,117
Morocco,Tuna-like fishes nei,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,2
Vanuatu,Tuna-like fishes nei,"Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,...
Norway,North Atlantic rockweed,"Atlantic, Northeast",Tonnes - live weight,...,...,...,...,...,...,19070,20347
Spain,Natantian decapods nei,"Atlantic, Northeast",Tonnes - live weight,40,27,38,82,82,45,58,46
Thailand,Barramundi(=Giant seaperch),"Indian Ocean, Eastern",Tonnes - live weight,23,40,67,30,35,57,-,4
France,"Catsharks, etc. nei","Atlantic, Northeast",Tonnes - live weight,10,19,2,1,5,8,-,2
"China, Hong Kong SAR","Hairtails, scabbardfishes nei","Pacific, Northwest",Tonnes - live weight,1610 F,1640 F,1500 F,1630 F,1550 F,1400 F,1380 F,1250 F
Japan,"Porgies, seabreams nei","Pacific, Northwest",Tonnes - live weight,9998,10608,10404,9248,10709,9894,9376,9500
Japan,Penaeus shrimps nei,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,...
Maldives,Tuna-like fishes nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,...
Netherlands,Pacific chub mackerel,"Pacific, Southeast",Tonnes - live weight,116,-,-,-,386,457,-,4759
Singapore,Natantian decapods nei,"Pacific, Western Central",Tonnes - live weight,189,176,276,262,225,275,276,220
Uganda,Tilapias nei,Africa - Inland waters,Tonnes - live weight,83541,62748,53860,53916,43523,49464,50266,50999
Greece,Euro-American crayfishes nei,Europe - Inland waters,Tonnes - live weight,21 F,21 F,21 F,21 F,21 F,21 F,21 F,21 F
Hungary,Tench,Europe - Inland waters,Tonnes - live weight,-,-,-,-,4,7,4,5
Croatia,Freshwater bream,Europe - Inland waters,Tonnes - live weight,68,64,65,65,53,54,53,47
Japan,"Porgies, seabreams nei","Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Mexico,Ark clams nei,"Pacific, Eastern Central",Tonnes - live weight,697,654,...,...,...,...,...,-
Czechia,Freshwater fishes nei,Europe - Inland waters,Tonnes - live weight,50,40,42,44,42,41,39,100
Papua New Guinea,Freshwater fishes nei,Oceania - Inland waters,Tonnes - live weight,6654 F,6654 F,6654 F,6654 F,6654 F,6654 F,6654 F,6654 F
Spain,Natantian decapods nei,"Atlantic, Eastern Central",Tonnes - live weight,1252,1163,238,106,445,107,394,347
Croatia,Tench,Europe - Inland waters,Tonnes - live weight,5,3,3,4,4,3,3,3
Guam,Surgeonfishes nei,"Pacific, Western Central",Tonnes - live weight,5,14,4,11,7,6,13,15
Indonesia,Giant tiger prawn,"Pacific, Western Central",Tonnes - live weight,22405,21302,21638,21310,24779,23504,19322,14403
Philippines,Rainbow sardine,"Pacific, Western Central",Tonnes - live weight,10178,10730,7186,7309,6697,5814,7891,6066
Israel,"Porgies, seabreams nei",Mediterranean and Black Sea,Tonnes - live weight,131,101,41,80,80 F,80 F,80 F,70 F
United States of America,Brine shrimp,"America, North - Inland waters",Tonnes - live weight,-,-,-,-,-,-,-,-
Italy,White seabream,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,166,171,225
Italy,"Porgies, seabreams nei","Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Japan,"Porgies, seabreams nei","Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Porgies, seabreams nei","Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Pakistan,Freshwater fishes nei,Asia - Inland waters,Tonnes - live weight,115348,118223,120240,123155,128235,132456,136890,139215
Georgia,Freshwater bream,Asia - Inland waters,Tonnes - live weight,-,-,-,-,-,-,-,-
France,Freshwater bream,Europe - Inland waters,Tonnes - live weight,...,...,7,5,4,5,2,7
Gambia,"Hairtails, scabbardfishes nei","Atlantic, Eastern Central",Tonnes - live weight,610,330 F,56,210,132,265,101,71
Sao Tome and Principe,Freshwater fishes nei,Africa - Inland waters,Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
Kenya,Nile tilapia,Africa - Inland waters,Tonnes - live weight,24572,38153,25261,25071,25999,20784,14000 F,8105
"Korea, Republic of","Porgies, seabreams nei","Pacific, Southwest",Tonnes - live weight,2509,2127,2672,3005,24,-,-,-
Libya,"Porgies, seabreams nei",Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
Lithuania,"Porgies, seabreams nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Slovenia,"Gurnards, searobins nei",Mediterranean and Black Sea,Tonnes - live weight,1,1,3,2,1,3,1,2
Lithuania,Rudd,Europe - Inland waters,Tonnes - live weight,2,1,1,0 0,0 0,-,-,0 0
New Caledonia,Mackerels nei,"Pacific, Western Central",Tonnes - live weight,44,56,79,39,36,65,54,99
Finland,Freshwater bream,Europe - Inland waters,Tonnes - live weight,1555,1555,1161,1161,1754,1754,1092,1092
France,Tench,Europe - Inland waters,Tonnes - live weight,...,...,1,0 0,0 0,0 0,0 0,0 0
"Korea, Republic of",Emperors(=Scavengers) nei,"Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Porgies, seabreams nei","Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Libya,White seabream,Mediterranean and Black Sea,Tonnes - live weight,870 F,520 F,600 F,600 F,420 F,395 F,460 F,550 F
Lithuania,Orfe(=Ide),Europe - Inland waters,Tonnes - live weight,-,-,-,-,-,-,-,0 0
Lithuania,West African croakers nei,"Atlantic, Eastern Central",Tonnes - live weight,6,-,-,-,-,-,-,-
Mexico,Blue shrimp,"Pacific, Eastern Central",Tonnes - live weight,14600,24595,16486,22541,20992,31210,30660,34643
Saint Vincent/Grenadines,Scaled sardines,"Atlantic, Western Central",Tonnes - live weight,...,...,...,2,0 0,0 0,0 0,1
Portugal,Great Atlantic scallop,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Greece,Annular seabream,Mediterranean and Black Sea,Tonnes - live weight,264,294,209,169,130,86,222,186
Italy,European pilchard(=Sardine),Mediterranean and Black Sea,Tonnes - live weight,16274,14377,19947,22606,25729,28865,28790,22700
"Korea, Republic of",Honnibe croaker,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Porgies, seabreams nei","Pacific, Western Central",Tonnes - live weight,64,24,30,4,2,58,-,-
Ukraine,Lanternfishes nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Liberia,West African croakers nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,230 F,230 F,311
Ukraine,Aquatic invertebrates nei,Mediterranean and Black Sea,Tonnes - live weight,284,253,120,364,331,533,435,210
Vanuatu,Tuna-like fishes nei,"Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,...
New Zealand,Tuna-like fishes nei,"Pacific, Southwest",Tonnes - live weight,-,0 0,-,0 0,-,-,-,-
Portugal,Boe drum,"Atlantic, Eastern Central",Tonnes - live weight,...,0 0,...,0 0,-,-,-,-
Saudi Arabia,Freshwater fishes nei,Asia - Inland waters,Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
Kazakhstan,Pike-perch,Asia - Inland waters,Tonnes - live weight,5525,5123,3716,3761,4492,5509,4894,4994
"Korea, Republic of",Yellow croaker,"Pacific, Northwest",Tonnes - live weight,31931,59226,36840,35279,27621,33254,19271,19398
"Korea, Republic of",Penaeus shrimps nei,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Liberia,Cassava croaker,"Atlantic, Eastern Central",Tonnes - live weight,233 F,236 F,236 F,239 F,243 F,165 F,165 F,300
Netherlands,European flat oyster,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Saint Vincent/Grenadines,Freshwater fishes nei,"America, North - Inland waters",Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
Senegal,Tilapias nei,Africa - Inland waters,Tonnes - live weight,283,1680,1931,2018,1484,1500,1552,653
"Korea, Republic of","Porgies, seabreams nei","Pacific, Northwest",Tonnes - live weight,7278,5647,5257,2943,2875,2842,2878,2798
Iraq,Green tiger prawn,"Indian Ocean, Western",Tonnes - live weight,5,35,984,319,470,430,900,1319
Finland,Vendace,Europe - Inland waters,Tonnes - live weight,4428,4428,4139,4139,3884,3884,3686,3686
Nigeria,Mackerels nei,"Atlantic, Eastern Central",Tonnes - live weight,2918,3086,3571,3871,3880,3912,3883,3378
Lithuania,White seabream,"Atlantic, Eastern Central",Tonnes - live weight,9,2,1,-,-,-,5,-
United Kingdom,Aquatic invertebrates nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Romania,Red-eye round herring,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Green seaweeds,"Pacific, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Jamaica,Nile tilapia,"America, North - Inland waters",Tonnes - live weight,...,...,...,...,...,...,...,...
Senegal,"Gurnards, searobins nei","Atlantic, Eastern Central",Tonnes - live weight,21,428,40,23,71,69,339,453
Kyrgyzstan,Pike-perch,Asia - Inland waters,Tonnes - live weight,...,...,...,...,1,16,21,20 F
Lithuania,West African croakers nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,5,-,-
"Korea, Republic of",Penaeus shrimps nei,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Nicaragua,Stromboid conchs nei,"Pacific, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Turkey,Black seabream,Mediterranean and Black Sea,Tonnes - live weight,38,24,49,26,27,22,51,20
"Korea, Republic of",Emperors(=Scavengers) nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Liberia,Bobo croaker,"Atlantic, Eastern Central",Tonnes - live weight,260 F,260 F,262 F,268 F,273 F,260 F,400 F,614
Tunisia,Saddled seabream,Mediterranean and Black Sea,Tonnes - live weight,57,32,35,29,50,101,120,47
Lithuania,Bleak,Europe - Inland waters,Tonnes - live weight,-,-,0 0,0 0,0 0,-,-,0 0
Oman,Natantian decapods nei,"Indian Ocean, Western",Tonnes - live weight,854,952,742,740,1139,845,838,509
Channel Islands,Tuberculate abalone,"Atlantic, Northeast",Tonnes - live weight,1,-,-,-,-,0 0,0 0,-
St. Pierre and Miquelon,Freshwater fishes nei,"America, North - Inland waters",Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
Un. Sov. Soc. Rep.,Lanternfishes nei,"Atlantic, Antarctic",Tonnes - live weight,...,...,...,...,...,...,...,...
Ireland,European pilchard(=Sardine),"Atlantic, Northeast",Tonnes - live weight,25,1013,8,236,19,277,232,164
Georgia,Vendace,Asia - Inland waters,Tonnes - live weight,0 0,6,1,1 F,1 F,1 F,1 F,1 F
Gambia,Palinurid spiny lobsters nei,"Atlantic, Eastern Central",Tonnes - live weight,40,40 F,...,43,76,69,102,29
Kuwait,Emperors(=Scavengers) nei,"Indian Ocean, Western",Tonnes - live weight,91,60,121,126,95,142,163,119
Lithuania,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,64,151,165,83,120,44,10,1
Samoa,Aquatic invertebrates nei,"Pacific, Eastern Central",Tonnes - live weight,1000 F,1017 F,1000 F,960 F,660 F,680 F,680 F,680 F
New Zealand,Bigeye thresher,"Pacific, Southwest",Tonnes - live weight,0 0,-,-,-,-,-,-,-
Saint Lucia,Freshwater fishes nei,"America, North - Inland waters",Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
Turkey,Saddled seabream,Mediterranean and Black Sea,Tonnes - live weight,243,113,139,114,128,59,90,92
Un. Sov. Soc. Rep.,Electron subantarctic,"Atlantic, Antarctic",Tonnes - live weight,...,...,...,...,...,...,...,...
United Kingdom,Lanternfishes nei,"Atlantic, Antarctic",Tonnes - live weight,0 0,0 0,0 0,0 0,-,-,-,-
Netherlands Antilles,Stromboid conchs nei,"Atlantic, Western Central",Tonnes - live weight,65 F,-,-,-,-,-,-,-
Japan,"Porgies, seabreams nei","Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Porgies, seabreams nei","Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,-,-,-,-
Liberia,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Lithuania,Roach,Europe - Inland waters,Tonnes - live weight,323,373,309,279,298,307,260,242
Philippines,Natantian decapods nei,Asia - Inland waters,Tonnes - live weight,5793,6340,6293,6359,6430,6363,4107,4087
Saint Helena,Freshwater fishes nei,Africa - Inland waters,Tonnes - live weight,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,Freshwater fishes nei,"America, North - Inland waters",Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
United States of America,Green seaweeds,"Pacific, Eastern Central",Tonnes - live weight,2,2,3,3,3,1,2,1.8
Ireland,European pilchard(=Sardine),"Atlantic, Eastern Central",Tonnes - live weight,14118,3365,...,-,-,-,-,-
"Korea, Republic of","Porgies, seabreams nei","Indian Ocean, Western",Tonnes - live weight,1375,1583,2384,2706,1856,-,-,-
Libya,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Niue,Tuna-like fishes nei,"Pacific, Eastern Central",Tonnes - live weight,-,2,2,19,19 F,19 F,19 F,19 F
Portugal,Boe drum,"Atlantic, Southeast",Tonnes - live weight,...,...,...,...,...,...,...,...
San Marino,Freshwater fishes nei,Europe - Inland waters,Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
United States of America,Lanternfishes nei,"Atlantic, Antarctic",Tonnes - live weight,...,...,...,...,...,...,...,...
Palestine,Bluefish,Mediterranean and Black Sea,Tonnes - live weight,2,2,1,4,3,2,5,3
France,Common spiny lobster,Mediterranean and Black Sea,Tonnes - live weight,32,10,6,6,9,24,36,13
French Polynesia,Escolar,"Pacific, Eastern Central",Tonnes - live weight,50,41,45,89,30,4,5,5 F
Germany,Vendace,Europe - Inland waters,Tonnes - live weight,74,90,73,66,41,31,48,53
Iraq,Nile tilapia,Asia - Inland waters,Tonnes - live weight,-,-,-,-,-,-,999,1055
Nicaragua,Stromboid conchs nei,"Atlantic, Western Central",Tonnes - live weight,5970,5641,7662,9857,11994,11161,9260,11020
South Africa,"Gurnards, searobins nei","Indian Ocean, Western",Tonnes - live weight,-,0 0,0 0,-,-,-,-,-
United States of America,Green seaweeds,"Atlantic, Northwest",Tonnes - live weight,72,25,27,73,...,...,...,...
Iran (Islamic Rep. of),Pike-perch,Asia - Inland waters,Tonnes - live weight,278,137,160,16,136,67,66,123
"Korea, Republic of","Porgies, seabreams nei","Atlantic, Southeast",Tonnes - live weight,-,74,364,16,-,-,-,-
Indonesia,Toli shad,"Pacific, Western Central",Tonnes - live weight,2135,1949,245,0 0,518,2305,533,1958
Latvia,Roach,Europe - Inland waters,Tonnes - live weight,17,17,13,12,10,9,13,13
Libya,Penaeus shrimps nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Mexico,Red seaweeds,"Pacific, Eastern Central",Tonnes - live weight,719,4475,4883,2392,1261,1572,2697,1118
Vanuatu,Tuna-like fishes nei,"Atlantic, Southwest",Tonnes - live weight,23,9,8,-,2,-,-,-
Singapore,Barramundi(=Giant seaperch),"Pacific, Western Central",Tonnes - live weight,21,23,27,34,24,18,20,32
Sweden,Freshwater fishes nei,"Atlantic, Northeast",Tonnes - live weight,1,0 0,-,-,-,0 0,0 0,-
Ukraine,Lanternfishes nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,"Gurnards, searobins nei","Atlantic, Southeast",Tonnes - live weight,-,19,8,8,78,125,125,130
Taiwan Province of China,Midway deep-sea coral,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Porgies, seabreams nei","Atlantic, Southwest",Tonnes - live weight,-,-,-,-,1,-,-,-
Latvia,Crucian carp,Europe - Inland waters,Tonnes - live weight,11,10,7,9,8,8,6,5
Latvia,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,21,34,24,80,115,-,-,-
Palau,Freshwater fishes nei,Oceania - Inland waters,Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
Turkey,Natantian decapods nei,Mediterranean and Black Sea,Tonnes - live weight,2341,2646,3054,2053,1643,1952,2439,2166
United States of America,Green seaweeds,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,12,-,-,-
France,Southern spiny lobster,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Iraq,Hilsa shad,"Indian Ocean, Western",Tonnes - live weight,1126,156,1918,390,1086,153,900 F,1718
France,Palinurid spiny lobsters nei,Mediterranean and Black Sea,Tonnes - live weight,-,19,12,40,12,1,1,0 0
